Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,21.42,23.389999,21.02,22.610001,125404400,22.610001
2016-11-01,16.559999,21.190001,16.280001,21.120001,157629400,21.120001
2016-10-03,15.59,17.10,15.50,16.50,85405700,16.439011
2016-09-01,16.15,16.15,14.81,15.65,92615600,15.592152
2016-08-01,14.52,16.24,14.09,16.139999,84397300,16.080339
2016-07-01,13.19,14.70,12.45,14.49,88247800,14.369562
2016-06-01,14.60,14.98,12.05,13.27,109603900,13.159703
2016-05-02,14.58,15.15,13.80,14.79,86817000,14.617484
2016-04-01,13.47,15.30,12.75,14.56,102112400,14.390168
2016-03-01,12.64,14.03,12.62,13.52,113421600,13.362299
2016-02-01,14.05,14.09,10.99,12.52,184741000,12.327057
2016-01-04,16.450001,16.59,12.94,14.14,147749000,13.922091
2015-12-01,17.52,17.889999,16.50,16.83,82610900,16.570635
2015-11-09,18.030001,18.08,17.01,17.43,70395800,17.113211
